=== harness select (repo /home/user/CreateChemE, 3dbd9b8 + uncommitted src changes)
DUTY 0.1 38 open=true phi=0.013680954738287815 P=149109.57072393273 q=[0.011123524538999844, 1.5130044629165011] rejected=0 modes=[PASSIVE, PASSIVE]
DUTY 0.1 39 open=true phi=0.013530205983759482 P=149086.93780307542 q=[0.011126126812480265, 1.5126318035497428] rejected=0 modes=[PASSIVE, PASSIVE]
DUTY 0.1 200 open=false phi=0.009926492294396905 P=148547.11284551964 q=[0.011189611201063853, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 0.1 400 open=false phi=0.010000219780279275 P=148558.73083266552 q=[0.011188219286789558, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 0.1 600 open=false phi=0.009923001276409708 P=148547.7310050053 q=[0.011189537145120089, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 0.1 800 open=false phi=0.009996724422399936 P=148559.32537931102 q=[0.011188148051990903, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 0.1 1000 open=false phi=0.009919498791847833 P=148548.3015589943 q=[0.011189468791970643, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 0.1 1200 open=false phi=0.009993217799035278 P=148559.8732757061 q=[0.011188082406179772, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 0.1 1400 open=false phi=0.009915984770820634 P=148548.82626279903 q=[0.011189405931415881, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 0.1 1600 open=false phi=0.009989699832840145 P=148560.3762405491 q=[0.011188022143515546, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 0.1 1800 open=false phi=0.00991246023751215 P=148549.30713047393 q=[0.011189348322246852, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 0.1 2000 open=false phi=0.009986171539481895 P=148560.83624902763 q=[0.01118796702741538, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 0.1 2200 open=false phi=0.009908925639358768 P=148549.74593071034 q=[0.011189295752638967, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 0.1 2400 open=false phi=0.009982632802985772 P=148561.25487203643 q=[0.011187916869726833, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 0.1 2600 open=false phi=0.009905380850712037 P=148550.14420023962 q=[0.011189248038547761, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY 0.1 2800 open=false phi=0.009979084603179615 P=148561.63394019275 q=[0.011187871451169614, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
DUTY_SUMMARY interval=0.1 slices=3000 transitions=45 openSlices=86 rejected=0 reasons={} phiRangeAfter100s=[0.009850242680315055,0.010001113118190845] fed=3.356235765121017 drained=13.006715298575351
DUTY 5.0 0 open=true phi=0.012028437889657167 P=148861.9086702756 q=[0.011093962973787666, 1.5173276037454568] rejected=1 modes=[PASSIVE, PASSIVE]
DUTY 5.0 1 open=true phi=0.009729165775647933 P=148517.62049552807 q=[0.011188342266030441, 0.46921942682327555] rejected=2 modes=[PASSIVE, CLOSED]
DUTY 5.0 2 open=false phi=0.009785350984950937 P=148526.18550994722 q=[0.011192446312204785, 0.0] rejected=0 modes=[PASSIVE, CLOSED]
