=== harness select (repo /home/user/CreateChemE, 3dbd9b8 + uncommitted src changes)
PHASE_PORT_CLOSURE_SLICE refusal-0.1 23 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 24 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 25 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 26 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 27 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 28 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 29 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 30 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 31 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
PHASE_PORT_CLOSURE_SLICE refusal-0.1 32 phiStart=0.0 phiEnd=0.0 P=150000.0->150000.0 out=0.0 in=0.0 accepted=1 rejected=1 reopens=1 reasons={Backward-Euler boundary reopened=1} modes=[VELOCITY_LIMITED, PASSIVE]
