node,pressure_ref_Pa,pressure_rel,temperature_dK,mass_rel,hc_moles_rel,liquid_volume_rel,water_volume_rel,vapor_volume_rel,kappa_eos_per_Pa,pressure_term,anchor_term,first_order_liquid_rel,exact_formulation_rel,check_residual_of_deviation,water_kappa_per_Pa,water_first_order_rel
89,150205.998220,7.6431e-08,1.6906e-06,2.8365e-05,2.8365e-05,1.0249e-03,-9.3087e-04,-4.5228e-05,1.2437e-09,4.5072e-04,5.9198e-04,1.0711e-03,9.8881e-04,0.0450,4.5655e-10,-1.0053e-03
90,150467.453780,1.5637e-07,4.0000e-06,2.8188e-05,2.8188e-05,1.0246e-03,-9.3142e-04,-4.5422e-05,1.2437e-09,4.5076e-04,5.9178e-04,1.0708e-03,9.8867e-04,0.0451,4.5652e-10,-1.0052e-03
91,150483.006550,1.8308e-07,4.8685e-06,2.8174e-05,2.8174e-05,1.0244e-03,-9.3154e-04,-4.5443e-05,1.2437e-09,4.5066e-04,5.9175e-04,1.0706e-03,9.8854e-04,0.0451,4.5651e-10,-1.0052e-03
92,150372.768053,3.5954e-07,6.2402e-06,2.8595e-05,2.8595e-05,1.0251e-03,-9.3070e-04,-4.5365e-05,1.2437e-09,4.5077e-04,5.9186e-04,1.0713e-03,9.8875e-04,0.0450,4.5653e-10,-1.0052e-03
93,150002.318592,2.6056e-09,9.7769e-08,2.8455e-05,2.8455e-05,1.0250e-03,-9.3058e-04,-4.5084e-05,1.2436e-09,4.5059e-04,5.9212e-04,1.0712e-03,9.8882e-04,0.0450,4.5656e-10,-1.0054e-03
94,149630.695055,-3.4941e-07,-6.0666e-06,2.8325e-05,2.8325e-05,1.0250e-03,-9.3041e-04,-4.4802e-05,1.2434e-09,4.5041e-04,5.9238e-04,1.0712e-03,9.8889e-04,0.0450,4.5659e-10,-1.0055e-03
95,149517.983457,-1.9800e-07,-5.1015e-06,2.8716e-05,2.8716e-05,1.0256e-03,-9.2960e-04,-4.4720e-05,1.2435e-09,4.5053e-04,5.9250e-04,1.0718e-03,9.8911e-04,0.0450,4.5661e-10,-1.0055e-03
96,149533.404265,-1.7034e-07,-4.1917e-06,2.8702e-05,2.8702e-05,1.0255e-03,-9.2972e-04,-4.4741e-05,1.2434e-09,4.5043e-04,5.9246e-04,1.0716e-03,9.8898e-04,0.0450,4.5660e-10,-1.0055e-03
97,149797.182154,-7.1641e-08,-1.5545e-06,2.8549e-05,2.8549e-05,1.0252e-03,-9.3026e-04,-4.4937e-05,1.2435e-09,4.5048e-04,5.9226e-04,1.0713e-03,9.8884e-04,0.0450,4.5657e-10,-1.0054e-03
98,150244.744186,1.4594e-07,2.5373e-06,2.8446e-05,2.8446e-05,1.0251e-03,-9.3074e-04,-4.5255e-05,1.2437e-09,4.5080e-04,5.9196e-04,1.0712e-03,9.8887e-04,0.0450,4.5655e-10,-1.0052e-03
99,150588.252784,4.4704e-07,7.4641e-06,2.8562e-05,2.8562e-05,1.0252e-03,-9.3081e-04,-4.5508e-05,1.2439e-09,4.5105e-04,5.9174e-04,1.0714e-03,9.8891e-04,0.0450,4.5653e-10,-1.0051e-03
100,150695.567340,-1.9587e-07,-1.3472e-06,2.7558e-05,2.7558e-05,1.0243e-03,-9.3229e-04,-4.5533e-05,1.2440e-09,4.5119e-04,5.9168e-04,1.0704e-03,9.8899e-04,0.0451,4.5653e-10,-1.0050e-03
