Temperature (K)	Pressure (kPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
63.1600000000	1.00000000000	0.0533838037289	18.7322732767	1.30390208050	1.82865824329	184.715562154	20.8050360171	29.1444757948	161.930386604	40.3224604516	4.36564110237	0.00560356455693	vapor
68.1600000000	1.00000000000	0.0494602577079	20.2182529235	1.40796970778	1.97435333169	186.935572493	20.8003717651	29.1342363989	168.232621168	34.0741676334	4.72103214648	0.00611203156182	vapor
73.1600000000	1.00000000000	0.0460748523776	21.7038134339	1.51200663077	2.12000597433	188.997752934	20.7973259927	29.1272450644	174.305181256	29.3091131325	5.07318825112	0.00661805458749	vapor
78.1600000000	1.00000000000	0.0431237596667	23.1890727462	1.61602258549	2.26562921108	190.923161399	20.7952875833	29.1223260404	180.171807604	25.5803912767	5.42196051316	0.00712119420675	vapor
83.1600000000	1.00000000000	0.0405283120561	24.6741092650	1.72002383792	2.41123150433	192.728877192	20.7938985320	29.1187773062	185.852337201	22.5979393147	5.76725109860	0.00762111933117	vapor
88.1600000000	1.00000000000	0.0382277948171	26.1589768592	1.82401455867	2.55681853374	194.428952487	20.7929411362	29.1161633532	191.363567594	20.1671209487	6.10900105726	0.00811758267359	vapor
93.1600000000	1.00000000000	0.0361745897845	27.6437136110	1.92799760675	2.70239422512	196.035092486	20.7922786112	29.1142048137	196.719883342	18.1534736375	6.44718121168	0.00861040234295	vapor
98.1600000000	1.00000000000	0.0343308185610	29.1283471212	2.03197499388	2.84796136340	197.557153169	20.7918224961	29.1127171134	201.933722120	16.4616922625	6.78178526329	0.00909944785130	vapor
103.160000000	1.00000000000	0.0326659699239	30.6128978361	2.13594816900	2.99352197027	199.003512898	20.7915140919	29.1115750682	207.015929100	15.0226730779	7.11282452236	0.00958462935071	vapor
108.160000000	1.00000000000	0.0311551896970	32.0973811979	2.23991819766	3.13907754390	200.381354678	20.7913135253	29.1106917479	211.976031327	13.7852877069	7.44032384375	0.0100658892699	vapor
113.160000000	1.00000000000	0.0297780264868	33.5818090713	2.34388587859	3.28462921538	201.696883817	20.7911931974	29.1100055559	216.822453334	12.7110123954	7.76431846859	0.0105431957576	vapor
118.160000000	1.00000000000	0.0285174973289	35.0661907133	2.44785182086	3.43017785308	202.955498040	20.7911335597	29.1094719261	221.562689205	11.7703452981	8.08485155434	0.0110165375012	vapor
