Le-Trebble 2007 set 3 | 176.60 K 1590.8 kPa y_CO2 0.0194 | 177.707 | +1.107 | +4.479 | ESTIMATED_DECLARED_ERROR
Le-Trebble 2007 set 3 | 176.70 K 1606.4 kPa y_CO2 0.0194 | 177.774 | +1.074 | +4.482 | ESTIMATED_DECLARED_ERROR
Le-Trebble 2007 set 3 | 177.20 K 1649.0 kPa y_CO2 0.0194 | 177.951 | +0.751 | +4.260 | ESTIMATED_DECLARED_ERROR
Le-Trebble 2007 set 3 | 178.60 K 1841.0 kPa y_CO2 0.0194 | 178.664 | +0.064 | +4.040 | ESTIMATED_DECLARED_ERROR
Le-Trebble 2007 set 3 | 178.00 K 1860.5 kPa y_CO2 0.0194 | 178.729 | +0.729 | +4.753 | ESTIMATED_DECLARED_ERROR
Le-Trebble 2007 set 3 | 178.00 K 1869.2 kPa y_CO2 0.0194 | 178.758 | +0.758 | +4.804 | ESTIMATED_DECLARED_ERROR
Le-Trebble 2007 set 3 | 182.40 K 2210.7 kPa y_CO2 0.0194 | 179.706 | -2.694 | +2.235 | ESTIMATED_DECLARED_ERROR
Le-Trebble 2007 set 3 | 183.00 K 2212.1 kPa y_CO2 0.0194 | 179.709 | -3.291 | +1.642 | ESTIMATED_DECLARED_ERROR
Le-Trebble 2007 set 3 | 183.10 K 2239.1 kPa y_CO2 0.0194 | 179.770 | -3.330 | +1.675 | ESTIMATED_DECLARED_ERROR
Xiong 2015 set 1 | 153.15 K 1183.0 kPa y_CO2 0.0016 | 153.125 | -0.025 | +2.657 | ESTIMATED_DECLARED_ERROR
Xiong 2015 set 1 | 153.15 K 970.0 kPa y_CO2 0.0013 | 150.571 | -2.579 | -0.420 | ESTIMATED_DECLARED_ERROR
Xiong 2015 set 1 | 153.15 K 786.0 kPa y_CO2 0.0015 | 150.525 | -2.625 | -0.917 | ESTIMATED_DECLARED_ERROR
Xiong 2015 set 1 | 153.15 K 590.0 kPa y_CO2 0.0025 | 152.658 | -0.492 | +0.753 | ESTIMATED_DECLARED_ERROR
Xiong 2015 set 1 | 153.15 K 423.0 kPa y_CO2 0.0032 | 152.380 | -0.770 | +0.108 | ESTIMATED_DECLARED_ERROR
Xiong 2015 set 1 | 153.15 K 273.0 kPa y_CO2 0.0048 | 152.459 | -0.691 | -0.134 | ESTIMATED_DECLARED_ERROR
Xiong 2015 set 1 | 153.15 K 1067.0 kPa y_CO2 0.0012 | 150.439 | -2.711 | -0.306 | ESTIMATED_DECLARED_ERROR
Xiong 2015 set 1 | 153.15 K 882.0 kPa y_CO2 0.0024 | 154.769 | +1.619 | +3.527 | ESTIMATED_DECLARED_ERROR
Xiong 2015 set 1 | 153.15 K 679.0 kPa y_CO2 0.0021 | 152.199 | -0.951 | +0.498 | ESTIMATED_DECLARED_ERROR
Xiong 2015 set 1 | 153.15 K 525.0 kPa y_CO2 0.0027 | 152.503 | -0.647 | +0.453 | ESTIMATED_DECLARED_ERROR
Xiong 2015 set 1 | 153.15 K 400.0 kPa y_CO2 0.0031 | 151.777 | -1.373 | -0.544 | ESTIMATED_DECLARED_ERROR
Xiong 2015 set 1 | 153.15 K 279.0 kPa y_CO2 0.0042 | 151.617 | -1.533 | -0.962 | ESTIMATED_DECLARED_ERROR
Xiong 2015 set 1 | 168.15 K 1408.0 kPa y_CO2 0.0080 | 167.956 | -0.194 | +2.868 | ESTIMATED_DECLARED_ERROR
Xiong 2015 set 1 | 168.15 K 1050.0 kPa y_CO2 0.0083 | 166.424 | -1.726 | +0.491 | ESTIMATED_DECLARED_ERROR
Xiong 2015 set 1 | 168.15 K 853.0 kPa y_CO2 0.0093 | 166.016 | -2.134 | -0.364 | ESTIMATED_DECLARED_ERROR
Xiong 2015 set 1 | 168.15 K 673.0 kPa y_CO2 0.0140 | 167.991 | -0.159 | +1.206 | ESTIMATED_DECLARED_ERROR
Xiong 2015 set 1 | 168.15 K 492.0 kPa y_CO2 0.0164 | 166.955 | -1.195 | -0.210 | ESTIMATED_DECLARED_ERROR
