# Xiong X., Lin W., Jia R., Song Y., Gu A. (2015). Measurement and Calculation of CO2 Frost Points in CH4 + CO2/CH4 + CO2 + N2/
# CH4 + CO2 + C2H6 Mixtures at Low Temperatures. J. Chem. Eng. Data 60(11), 3077-3086. DOI 10.1021/acs.jced.5b00059.
# Frost (sublimation) pressure of the gas at given T and gas composition, static analytic with sampling, 153.15 to 193.15 K,
# 219 to 3038 kPa. Set 3: CH4 + CO2, 64 points, y_CO2 0.001 to 0.3407. Set 1: CH4 + CO2 + N2, 141 rows = the same 64 binary
# points with y_N2 = 0 plus 77 points with y_N2 up to 0.0574. Set 2: CH4 + C2H6 + CO2, 117 rows = the 64 binary points with
# y_C2H6 = 0 plus 53 points with y_C2H6 up to 0.0594. Unique points: 194. Do not count the binary rows three times.
# Holdout role: P5 context (frost points in CH4) and the N2 effect at 3 to 6 % N2; no CO2 + N2 binary.
# Source: NIST TRC ThermoML Archive (IUPAC ThermoML), https://trc.nist.gov/ThermoML/10.1021/acs.jced.5b00059.xml, retrieved 2026-09-25;
# archive DOI 10.18434/mds2-2422. TRC terms: no warranty by the publisher, editors or NIST/TRC; TRC requests that works
# using ThermoML Archive data cite them. The XML is TRC's compilation of the paper's tables, not the paper itself.
# Flattened with thermoml_to_tsv.py (this folder): one row per property value, digits exactly as in the XML.
# U95 = nCombExpandUncertValue, expanded uncertainty at 95 % assessed by the TRC data-file compiler (not the authors' own
# statement unless the paper gives the same number). Labels abbreviated: fluid/liquid/gas/crystal, CO2/CH4/N2/C2H6.
# Transcribed 2026-09-25, batch 2026-09-24-coolprop-low-temperature.
# XML file: thermoml/xiong-2015-jced-60-3077-acs.jced.5b00059.xml (sha256 00876ad7d95f570aab9a063986f21fdbbd2e976da0b23046279465c400481e6a)
set	system	phases	property	method	value	U95	Temperature, K@gas	Mole fraction[CO2]@gas	Mole fraction[N2]@gas	Mole fraction[C2H6]@gas
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	474	33	158.15	0.0066	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	415	36	158.15	0.0075	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	341	32	158.15	0.0092	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	271	34	158.15	0.0113	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1510	34	168.15	0.0082	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1335	35	168.15	0.0071	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1130	39	168.15	0.0091	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	953	28	168.15	0.0108	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	791	33	168.15	0.0125	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	669	67	168.15	0.0145	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	562	75	168.15	0.017	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	467	56	168.15	0.0209	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	369	42	168.15	0.0252	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	277	27	168.15	0.0331	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1408	592	168.15	0.008	0.0307	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1050	590	168.15	0.0083	0.0306	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	853	13	168.15	0.0093	0.0305	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	673	410	168.15	0.014	0.0303	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	492	382	168.15	0.0164	0.0298	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	267	28	168.15	0.0337	0.0294	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1703	321	168.15	0.0041	0.0522	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1564	864	168.15	0.0053	0.0503	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1260	545	168.15	0.0054	0.0504	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	969	507	168.15	0.0077	0.0499	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	752	47	168.15	0.0102	0.0501	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	570	49	168.15	0.0146	0.0504	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	415	54	168.15	0.0195	0.0511	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	272	81	168.15	0.0272	0.0518	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1920	118	178.15	0.0185	0.0345	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1765	186	178.15	0.0201	0.0344	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1592	139	178.15	0.0225	0.0337	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1402	406	178.15	0.0252	0.0325	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1198	397	178.15	0.0257	0.0319	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	912	49	178.15	0.0322	0.0313	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	718	68	178.15	0.0389	0.0319	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	532	47	178.15	0.0533	0.0312	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	389	34	178.15	0.0675	0.0308	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	275	23	178.15	0.0937	0.03	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1930	383	178.15	0.0161	0.0562	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1622	367	178.15	0.0163	0.0544	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1332	151	178.15	0.0201	0.0524	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1032	80	178.15	0.0264	0.0529	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	831	73	178.15	0.0328	0.0525	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	635	47	178.15	0.0433	0.0524	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	424	41	178.15	0.0655	0.0507	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	275	23	178.15	0.0991	0.0486	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1983	179	178.15	0.0154	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1775	329	178.15	0.0158	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1563	95	178.15	0.0222	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1305	46	178.15	0.0252	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1090	41	178.15	0.0283	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	933	35	178.15	0.0316	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	768	77	178.15	0.0383	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	589	44	178.15	0.0467	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	397	31	178.15	0.07	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	278	28	178.15	0.0903	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	2183	193	178.15	0.0161	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	390	31	188.15	0.1692	0.0296	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	276	22	188.15	0.2373	0.0262	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	2138	202	188.15	0.04	0.0547	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1876	155	188.15	0.0448	0.0539	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1572	54	188.15	0.0512	0.0519	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1250	44	188.15	0.0578	0.0503	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	960	33	188.15	0.0707	0.0476	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	775	108	188.15	0.0867	0.0543	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	574	26	188.15	0.1138	0.0525	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	400	31	188.15	0.1604	0.0491	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	268	22	188.15	0.229	0.0528	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	2088	66	188.15	0.0412	0.0334	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1791	96	188.15	0.0455	0.0335	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1472	98	188.15	0.055	0.0344	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1131	48	188.15	0.0673	0.0327	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	783	34	188.15	0.0871	0.0314	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	2982	170	188.15	0.0392	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	2644	165	188.15	0.0377	0	
