fluid,L_m,v0_m_s,U_W_m2K,nine_error,seventeen_error
steam-sensible,50.0,3.0,2.0,3.7333761833429745E-5,7.424088654215881E-6
steam-sensible,50.0,3.0,15.0,2.4088583649813325E-11,1.1283989189641026E-11
steam-sensible,50.0,3.0,60.0,0.0,0.0
steam-sensible,150.0,0.002,2.0,0.0,0.0
steam-sensible,150.0,0.002,15.0,0.0,0.0
steam-sensible,150.0,0.002,60.0,0.0,0.0
steam-sensible,150.0,0.02,2.0,0.0,0.0
steam-sensible,150.0,0.02,15.0,0.0,0.0
steam-sensible,150.0,0.02,60.0,0.0,0.0
steam-sensible,150.0,0.2,2.0,0.0,0.0
steam-sensible,150.0,0.2,15.0,0.0,0.0
steam-sensible,150.0,0.2,60.0,0.0,0.0
steam-sensible,150.0,1.0,2.0,6.797151383272089E-11,3.1777577224491276E-11
steam-sensible,150.0,1.0,15.0,0.0,0.0
steam-sensible,150.0,1.0,60.0,0.0,0.0
steam-sensible,150.0,3.0,2.0,1.8354037608329874E-6,7.929013555162642E-7
steam-sensible,150.0,3.0,15.0,0.0,0.0
steam-sensible,150.0,3.0,60.0,0.0,0.0
methane-cooling,1.0,0.002,2.0,2.03424269787366E-7,8.809675190931975E-8
methane-cooling,1.0,0.002,15.0,0.0,0.0
methane-cooling,1.0,0.002,60.0,0.0,0.0
methane-cooling,1.0,0.02,2.0,3.3357545798925895E-4,7.678731556566299E-5
methane-cooling,1.0,0.02,15.0,3.090208634348497E-6,1.3149758131233735E-6
methane-cooling,1.0,0.02,60.0,0.0,0.0
methane-cooling,1.0,0.2,2.0,3.573024510037745E-4,8.196377307276883E-5
methane-cooling,1.0,0.2,15.0,3.1306623892860013E-4,7.927606358630016E-5
methane-cooling,1.0,0.2,60.0,2.1419693080230317E-4,6.750488129065968E-5
methane-cooling,1.0,1.0,2.0,2.8792212314806393E-4,9.481187656864171E-5
methane-cooling,1.0,1.0,15.0,3.4163589592256207E-4,8.664406585385906E-5
methane-cooling,1.0,1.0,60.0,3.03870781471211E-4,8.008957838691231E-5
methane-cooling,1.0,3.0,2.0,1.1756348639256029E-4,5.292222211409515E-5
methane-cooling,1.0,3.0,15.0,3.673822276211054E-4,8.930511593158013E-5
methane-cooling,1.0,3.0,60.0,3.3827221350805605E-4,8.474201063983408E-5
methane-cooling,10.0,0.002,2.0,0.0,0.0
methane-cooling,10.0,0.002,15.0,0.0,0.0
methane-cooling,10.0,0.002,60.0,0.0,0.0
methane-cooling,10.0,0.02,2.0,2.0342426971961625E-7,8.809675204481899E-8
methane-cooling,10.0,0.02,15.0,0.0,0.0
methane-cooling,10.0,0.02,60.0,0.0,0.0
methane-cooling,10.0,0.2,2.0,3.335754579887836E-4,7.678731556492586E-5
methane-cooling,10.0,0.2,15.0,2.6855759984482923E-6,1.1445382835738056E-6
methane-cooling,10.0,0.2,60.0,0.0,0.0
methane-cooling,10.0,1.0,2.0,3.286234582659011E-4,8.390393805798109E-5
methane-cooling,10.0,1.0,15.0,3.0239376888040046E-4,7.179599829772266E-5
methane-cooling,10.0,1.0,60.0,1.1393762673318295E-7,4.9423411135720996E-8
methane-cooling,10.0,3.0,2.0,3.072819631147553E-4,8.177786101916558E-5
methane-cooling,10.0,3.0,15.0,3.3961450295248214E-4,8.180358860574307E-5
methane-cooling,10.0,3.0,60.0,2.1536897433950308E-4,6.772230974920933E-5
methane-cooling,50.0,0.002,2.0,0.0,0.0
methane-cooling,50.0,0.002,15.0,0.0,0.0
methane-cooling,50.0,0.002,60.0,0.0,0.0
methane-cooling,50.0,0.02,2.0,0.0,0.0
