| case @ t | run91a P1, P2 (Pa) | run91b P1, P2 (Pa) | run91c P1, P2 (Pa) | run91d P1, P2 (Pa) | run91e P1, P2 (Pa) | run91b - run91a (Pa) | run91c - run91a (Pa) | run91d - run91a (Pa) | run91e - run91a (Pa) |
| 0.05:6:true@5.0 | 101318.90, 101318.90 | 101318.58, 101318.58 | 101319.00, 101319.00 | 101319.00, 101319.00 | 101319.00, 101319.00 | -0.32, -0.32 | 0.10, 0.10 | 0.10, 0.10 | 0.10, 0.10 |
| 0.05:6:true@10.0 | 101318.90, 101318.90 | 101318.58, 101318.58 | 101319.00, 101319.00 | 101319.00, 101319.00 | 101319.00, 101319.00 | -0.32, -0.32 | 0.10, 0.10 | 0.10, 0.10 | 0.10, 0.10 |
| 0.05:6:true@13.0 | 101328.22, 101323.62 | 101328.21, 101323.61 | 101328.20, 101323.61 | 101328.21, 101323.61 | 101328.16, 101323.58 | -0.01, -0.01 | -0.02, -0.01 | -0.01, -0.01 | -0.06, -0.04 |
| 0.05:6:true@16.0 | 101319.02, 101319.02 | 101319.02, 101319.02 | 101319.02, 101319.02 | 101319.02, 101319.02 | 101319.03, 101319.03 | 0.00, 0.00 | 0.00, 0.00 | 0.00, 0.00 | 0.01, 0.01 |
| 0.02:4:false@1.0 | 144086.86, 143984.45 | 144189.30, 144095.96 | - | 144107.12, 144007.06 | - | 102.44, 111.52 | - | 20.26, 22.61 | - |
| 0.02:4:false@5.0 | 122621.74, 122082.61 | 123061.73, 122553.97 | 123062.04, 122554.31 | 122991.07, 122478.12 | 122955.77, 122440.40 | 439.99, 471.35 | 440.29, 471.70 | 369.33, 395.51 | 334.03, 357.78 |
| 0.02:4:false@10.0 | 101972.97, 102158.53 | 102788.95, 103016.78 | 102780.15, 103003.47 | 102766.89, 102990.61 | 102742.71, 102957.15 | 815.98, 858.26 | 807.18, 844.94 | 793.92, 832.08 | 769.74, 798.63 |
| 0.02:4:false@13.0 | 101882.29, 101444.59 | 101969.27, 101477.35 | 102013.71, 101512.77 | 101966.98, 101476.33 | 101999.38, 101502.23 | 86.98, 32.76 | 131.41, 68.18 | 84.69, 31.74 | 117.09, 57.64 |
| 0.02:4:false@16.0 | 101325.00, 101325.00 | 101325.03, 101325.03 | 101325.82, 101325.64 | 101325.03, 101325.03 | 101337.67, 101329.99 | 0.03, 0.03 | 0.82, 0.64 | 0.03, 0.03 | 12.67, 4.99 |
| 0.02:4:true@1.0 | 144086.86, 94221.47 | 144189.30, 94215.77 | - | 144107.12, 94220.33 | - | 102.44, -5.70 | - | 20.26, -1.14 | - |
| 0.02:4:true@5.0 | 122621.74, 102056.40 | 123061.73, 101982.62 | 123034.22, 101998.19 | 122982.78, 101986.66 | 122928.62, 102006.23 | 439.99, -73.78 | 412.48, -58.21 | 361.04, -69.74 | 306.88, -50.17 |
| 0.02:4:true@10.0 | 101638.43, 101466.97 | 102380.90, 101606.44 | 102316.34, 101599.34 | 102352.41, 101601.13 | 102264.25, 101590.98 | 742.47, 139.47 | 677.91, 132.37 | 713.98, 134.17 | 625.82, 124.01 |
| 0.02:4:true@13.0 | 101876.24, 101442.98 | 101905.24, 101450.73 | 101917.13, 101454.11 | 101903.66, 101450.31 | 101910.31, 101452.27 | 29.00, 7.75 | 40.89, 11.13 | 27.42, 7.33 | 34.07, 9.29 |
| 0.02:4:true@16.0 | 101325.00, 101325.00 | 101325.03, 101325.03 | 101325.59, 101325.44 | 101325.03, 101325.03 | 101333.81, 101327.84 | 0.03, 0.03 | 0.59, 0.44 | 0.03, 0.03 | 8.81, 2.84 |
| 0.02:5:false@1.0 | 144086.86, 143555.81 | 144189.30, 143676.97 | - | 144107.12, 143579.80 | - | 102.44, 121.16 | - | 20.26, 23.99 | - |
| 0.02:5:false@5.0 | 122621.74, 120430.50 | 123061.73, 120939.68 | 123039.78, 120914.30 | 122983.54, 120849.17 | 122926.35, 120783.07 | 439.99, 509.18 | 418.03, 483.80 | 361.80, 418.67 | 304.60, 352.57 |
